source,aggregation,theoretical,observed
empirical,year_20,0.20092985266978322,0.2621348299138206
empirical,year_20,0.20531149055077355,0.2947501553931347
empirical,year_20,0.2096970737242566,0.2947501553931347
empirical,year_20,0.2140866938050388,0.2947501553931347
empirical,year_20,0.21848044297245714,0.2947501553931347
empirical,year_20,0.22287841398523614,0.2984933549151306
empirical,year_20,0.22728070019655902,0.2984933549151306
empirical,year_20,0.231687395569368,0.2984933549151306
empirical,year_20,0.23609859469189412,0.2984933549151306
empirical,year_20,0.24051439279342615,0.31985315966491595
empirical,year_20,0.244934885760329,0.31985315966491595
empirical,year_20,0.24936017015231193,0.31985315966491595
empirical,year_20,0.2537903432189628,0.31985315966491595
empirical,year_20,0.2582255029165476,0.31985315966491595
empirical,year_20,0.2626657479250916,0.32787005839588274
empirical,year_20,0.26711117766574294,0.32787005839588274
empirical,year_20,0.27156189231843353,0.3350181600407261
empirical,year_20,0.2760179928398417,0.3350181600407261
empirical,year_20,0.28047958098166587,0.3350181600407261
empirical,year_20,0.2849467593092232,0.3350181600407261
empirical,year_20,0.2894196312203746,0.3575695075595568
empirical,year_20,0.29389830096479513,0.3575695075595568
empirical,year_20,0.29838287366359023,0.3614117069012775
empirical,year_20,0.30287345532927784,0.36151099760321287
empirical,year_20,0.30737015288613856,0.37218281741445036
empirical,year_20,0.3118730741909493,0.37218281741445036
empirical,year_20,0.3163823280541129,0.37218281741445036
empirical,year_20,0.3208980242611897,0.37218281741445036
empirical,year_20,0.3254202735948498,0.37218281741445036
empirical,year_20,0.3299491878572522,0.37218281741445036
empirical,year_20,0.3344848798928694,0.37218281741445036
empirical,year_20,0.3390274636117636,0.40381129996931536
empirical,year_20,0.34357705401333577,0.40381129996931536
empirical,year_20,0.348133767210555,0.41001118687682625
empirical,year_20,0.3526977204546839,0.41001118687682625
empirical,year_20,0.35726903216052047,0.41001118687682625
empirical,year_20,0.36184782193216053,0.4304261041416548
empirical,year_20,0.3664342105893091,0.4304261041416548
empirical,year_20,0.3710283201941456,0.4304261041416548
empirical,year_20,0.37563027407876864,0.4304261041416548
empirical,year_20,0.38024019687323135,0.4304261041416548
empirical,year_20,0.3848582145341872,0.4338972404786284
empirical,year_20,0.3894844543741681,0.4338972404786284
empirical,year_20,0.3941190450915059,0.4470886232516002
empirical,year_20,0.3987621168009269,0.4470886232516002
empirical,year_20,0.4034138010648291,0.44852853867952674
empirical,year_20,0.4080742309252747,0.44852853867952674
empirical,year_20,0.41274354093670673,0.44852853867952674
empirical,year_20,0.41742186719942503,0.44852853867952674
empirical,year_20,0.4221093473938352,0.45774614665067903
empirical,year_20,0.426806120815498,0.4657376602004355
empirical,year_20,0.431512328411007,0.4657376602004355
empirical,year_20,0.436228112814713,0.4657376602004355
empirical,year_20,0.4409536183863313,0.4657376602004355
empirical,year_20,0.44568899124944844,0.4657376602004355
empirical,year_20,0.45043437933096797,0.46651256595794216
empirical,year_20,0.4551899324015168,0.46651256595794216
empirical,year_20,0.4599558021168443,0.4877616700553591
empirical,year_20,0.4647321420602515,0.4877616700553591
empirical,year_20,0.4695191077860732,0.4912829202099986
empirical,year_20,0.4743168568642582,0.4912829202099986
empirical,year_20,0.4791255489260723,0.4996324689606906
empirical,year_20,0.483945345710971,0.4996324689606906
empirical,year_20,0.4887764111146695,0.5016451679849849
empirical,year_20,0.4936189112384601,0.5016451679849849
empirical,year_20,0.4984730144398081,0.5097350905160734
empirical,year_20,0.5033388913842752,0.5277390343298429
empirical,year_20,0.5082167150988134,0.5332734081680207
empirical,year_20,0.5131066610264705,0.5364362444622272
empirical,year_20,0.5180089070825639,0.5364362444622272
empirical,year_20,0.52292363371236,0.5674526871520164
empirical,year_20,0.5278510239503247,0.5674526871520164
empirical,year_20,0.5327912634809829,0.5684908842514741
empirical,year_20,0.5377445407014574,0.5753346304843047
empirical,year_20,0.5427110467857331,0.5826846081954984
empirical,year_20,0.5476909757507121,0.6021885147064626
empirical,year_20,0.552684524524124,0.6021885147064626
empirical,year_20,0.5576918930143483,0.6021885147064626
empirical,year_20,0.5627132841822275,0.6021885147064626
empirical,year_20,0.5677489041149298,0.6100494314878353
empirical,year_20,0.5727989621019447,0.6131629999466806
empirical,year_20,0.5778636707132803,0.6152999336748122
empirical,year_20,0.5829432458799452,0.6298039770936765
empirical,year_20,0.5880379069767997,0.637500070765243
empirical,year_20,0.5931478769078558,0.637500070765243
empirical,year_20,0.5982733821941255,0.637500070765243
empirical,year_20,0.6034146530641012,0.637500070765243
empirical,year_20,0.6085719235469759,0.6516803517493811
empirical,year_20,0.6137454315686952,0.6524490245558732
empirical,year_20,0.6189354190509588,0.6524490245558732
empirical,year_20,0.6241421320132724,0.6734075785497924
empirical,year_20,0.6293658206781719,0.6820607758848903
empirical,year_20,0.6346067395797436,0.6909134831252134
empirical,year_20,0.6398651476755574,0.7099323836753882
empirical,year_20,0.6451413084621596,0.7099323836753882
empirical,year_20,0.6504354900942501,0.7099323836753882
