source,start_year,end_year,start_decile,end_decile,count,probability
empirical,10,20,1,4,8,0.11764705882352941
empirical,10,20,1,5,2,0.029411764705882353
empirical,10,20,1,6,4,0.058823529411764705
empirical,10,20,1,7,5,0.07352941176470588
empirical,10,20,1,8,3,0.04411764705882353
empirical,10,20,1,9,4,0.058823529411764705
empirical,10,20,1,10,1,0.014705882352941176
empirical,10,20,2,1,11,0.16176470588235295
empirical,10,20,2,2,17,0.25
empirical,10,20,2,3,6,0.08823529411764706
empirical,10,20,2,4,11,0.16176470588235295
empirical,10,20,2,5,10,0.14705882352941177
empirical,10,20,2,6,9,0.1323529411764706
empirical,10,20,2,7,1,0.014705882352941176
empirical,10,20,2,8,3,0.04411764705882353
empirical,10,20,2,9,0,0.0
empirical,10,20,2,10,0,0.0
empirical,10,20,3,1,10,0.14705882352941177
empirical,10,20,3,2,11,0.16176470588235295
empirical,10,20,3,3,9,0.1323529411764706
empirical,10,20,3,4,5,0.07352941176470588
empirical,10,20,3,5,11,0.16176470588235295
empirical,10,20,3,6,3,0.04411764705882353
empirical,10,20,3,7,9,0.1323529411764706
empirical,10,20,3,8,5,0.07352941176470588
empirical,10,20,3,9,3,0.04411764705882353
empirical,10,20,3,10,2,0.029411764705882353
empirical,10,20,4,1,10,0.14705882352941177
empirical,10,20,4,2,7,0.10294117647058823
empirical,10,20,4,3,13,0.19117647058823528
empirical,10,20,4,4,9,0.1323529411764706
empirical,10,20,4,5,8,0.11764705882352941
empirical,10,20,4,6,4,0.058823529411764705
empirical,10,20,4,7,5,0.07352941176470588
empirical,10,20,4,8,2,0.029411764705882353
empirical,10,20,4,9,6,0.08823529411764706
empirical,10,20,4,10,4,0.058823529411764705
empirical,10,20,5,1,6,0.08823529411764706
empirical,10,20,5,2,5,0.07352941176470588
empirical,10,20,5,3,8,0.11764705882352941
empirical,10,20,5,4,9,0.1323529411764706
empirical,10,20,5,5,6,0.08823529411764706
empirical,10,20,5,6,7,0.10294117647058823
empirical,10,20,5,7,13,0.19117647058823528
empirical,10,20,5,8,8,0.11764705882352941
empirical,10,20,5,9,3,0.04411764705882353
empirical,10,20,5,10,3,0.04411764705882353
empirical,10,20,6,1,5,0.07352941176470588
empirical,10,20,6,2,8,0.11764705882352941
empirical,10,20,6,3,2,0.029411764705882353
empirical,10,20,6,4,10,0.14705882352941177
empirical,10,20,6,5,10,0.14705882352941177
empirical,10,20,6,6,9,0.1323529411764706
empirical,10,20,6,7,7,0.10294117647058823
empirical,10,20,6,8,9,0.1323529411764706
empirical,10,20,6,9,5,0.07352941176470588
empirical,10,20,6,10,3,0.04411764705882353
empirical,10,20,7,1,6,0.08823529411764706
empirical,10,20,7,2,7,0.10294117647058823
empirical,10,20,7,3,3,0.04411764705882353
empirical,10,20,7,4,6,0.08823529411764706
empirical,10,20,7,5,7,0.10294117647058823
empirical,10,20,7,6,9,0.1323529411764706
empirical,10,20,7,7,5,0.07352941176470588
empirical,10,20,7,8,13,0.19117647058823528
empirical,10,20,7,9,9,0.1323529411764706
empirical,10,20,7,10,3,0.04411764705882353
empirical,10,20,8,1,2,0.029411764705882353
empirical,10,20,8,2,2,0.029411764705882353
empirical,10,20,8,3,5,0.07352941176470588
empirical,10,20,8,4,5,0.07352941176470588
empirical,10,20,8,5,8,0.11764705882352941
empirical,10,20,8,6,11,0.16176470588235295
empirical,10,20,8,7,8,0.11764705882352941
empirical,10,20,8,8,5,0.07352941176470588
empirical,10,20,8,9,19,0.27941176470588236
empirical,10,20,8,10,3,0.04411764705882353
empirical,10,20,9,1,1,0.014705882352941176
empirical,10,20,9,2,2,0.029411764705882353
empirical,10,20,9,3,2,0.029411764705882353
empirical,10,20,9,4,3,0.04411764705882353
empirical,10,20,9,5,4,0.058823529411764705
empirical,10,20,9,6,7,0.10294117647058823
empirical,10,20,9,7,9,0.1323529411764706
empirical,10,20,9,8,8,0.11764705882352941
empirical,10,20,9,9,11,0.16176470588235295
empirical,10,20,9,10,21,0.3088235294117647
empirical,10,20,10,1,2,0.028985507246376812
empirical,10,20,10,2,1,0.014492753623188406
empirical,10,20,10,3,2,0.028985507246376812
empirical,10,20,10,4,2,0.028985507246376812
empirical,10,20,10,5,2,0.028985507246376812
empirical,10,20,10,6,5,0.07246376811594203
empirical,10,20,10,7,6,0.08695652173913043
empirical,10,20,10,8,12,0.17391304347826086
empirical,10,20,10,9,8,0.11594202898550725
empirical,10,20,10,10,29,0.42028985507246375
empirical,15,20,1,1,18,0.2647058823529412
empirical,15,20,1,2,11,0.16176470588235295
empirical,15,20,1,3,12,0.17647058823529413
empirical,15,20,1,4,8,0.11764705882352941
empirical,15,20,1,5,4,0.058823529411764705
empirical,15,20,1,6,4,0.058823529411764705
empirical,15,20,1,7,4,0.058823529411764705
empirical,15,20,1,8,4,0.058823529411764705
empirical,15,20,1,9,2,0.029411764705882353
empirical,15,20,1,10,1,0.014705882352941176
empirical,15,20,2,1,15,0.22058823529411764
empirical,15,20,2,2,11,0.16176470588235295
empirical,15,20,2,3,9,0.1323529411764706
empirical,15,20,2,4,11,0.16176470588235295
empirical,15,20,2,5,6,0.08823529411764706
empirical,15,20,2,6,10,0.14705882352941177
empirical,15,20,2,7,2,0.029411764705882353
empirical,15,20,2,8,3,0.04411764705882353
empirical,15,20,2,9,1,0.014705882352941176
empirical,15,20,2,10,0,0.0
empirical,15,20,3,1,9,0.1323529411764706
